bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,2,35.0,planview_xt3d,42,6,ok,23.725517594649414,26.851608187978407,40.912362205775935,49.77419074818591,33.55050358314172,1.4835601684737807,"1.0,1.0,1.0"
analytical,2,40.0,planview_xt3d,42,6,ok,29.776137332950444,33.658491765120885,51.391624363395756,49.68572801906298,29.34120444167326,1.6933772476120452,"1.0,1.0,1.0"
analytical,2,45.0,planview_xt3d,42,6,ok,35.9583815880794,40.61226176299342,62.1951319743928,49.56208760885277,25.0,1.9824835043541107,"1.0,1.0,1.0"
analytical,2,50.0,planview_xt3d,42,6,ok,42.06202247449076,47.44075876281628,73.00913978948958,49.37622428408899,20.658795558326748,2.3900824297662107,"1.0,1.0,1.0"
analytical,2,55.0,planview_xt3d,42,6,ok,47.887701795320645,53.941365738261176,83.51128727929162,49.141257327900014,16.449496416858278,2.987401929066811,"1.0,1.0,1.0"
analytical,2,60.0,planview_xt3d,42,6,ok,53.17336672169936,59.72346211733403,93.44528104239744,48.76685865338506,12.500000000000007,3.901348692270802,"1.0,1.0,1.0"
analytical,2,0.0,provost_std,42,6,ok,9.915860874117229e-09,9.188009744565078e-09,2.0602991535056958e-08,49.99999999938755,50.0,0.9999999999877509,"1.0,1.0,1.0"
analytical,2,5.0,provost_std,42,6,ok,5.324079714314211,5.991803959615634,9.071978770506806,46.004312030628526,49.6201938253052,0.9271288256670885,"1.0,1.0,1.0"
analytical,2,10.0,provost_std,42,6,ok,8.825450573342502,9.868169034226582,14.927943384945477,42.538140994218445,48.49231551964771,0.8772140603800039,"1.0,1.0,1.0"
analytical,2,15.0,provost_std,42,6,ok,10.72563920691231,11.914960094463527,18.010127987694453,39.46247296080135,46.65063509461098,0.8459150208945386,"1.0,1.0,1.0"
analytical,2,20.0,provost_std,42,6,ok,11.226321748748527,12.388267903748346,18.712667679384843,36.67827151467112,44.15111107797446,0.8307440202330197,"1.0,1.0,1.0"
analytical,2,25.0,provost_std,42,6,ok,10.526866448906166,11.536014921597905,17.414941900240745,34.111621312764626,41.06969024216348,0.8305789771393144,"1.0,1.0,1.0"
analytical,2,30.0,provost_std,42,6,ok,8.833206593248212,9.608909476333778,14.498520873911374,31.704749849664683,37.500000000000014,0.8454599959910579,"1.0,1.0,1.0"
analytical,2,35.0,provost_std,42,6,ok,6.36153835892447,6.865133228868247,10.35447717938931,29.410321795156097,33.55050358314172,0.8765985202658491,"1.0,1.0,1.0"
analytical,2,40.0,provost_std,42,6,ok,3.3386896891154434,3.5711466235684455,5.384776244040573,27.18763929921044,29.34120444167326,0.926602701441795,"1.0,1.0,1.0"
analytical,2,45.0,provost_std,42,6,ok,1.0925267423827576e-08,1.717089950297021e-08,2.9033386805821237e-08,24.999999991504534,25.0,0.9999999996601813,"1.0,1.0,1.0"
analytical,2,50.0,provost_std,42,6,ok,0.7458360401162558,0.7433648214867289,1.3077597856872518,20.202032212900846,20.658795558326748,0.9778901270339645,"1.0,1.0,1.0"
analytical,2,55.0,provost_std,42,6,ok,1.8783790917556697,1.9263264676657357,2.78246941299372,16.39520535116072,16.449496416858278,0.996699530227447,"1.0,1.0,1.0"
analytical,2,60.0,provost_std,42,6,ok,3.8901642276805632,4.007486379880708,6.133929930500901,13.250288494471533,12.500000000000007,1.0600230795577221,"1.0,1.0,1.0"
analytical,2,0.0,provost_xt3d,42,6,ok,3.1204671250530293e-09,2.8951899893747015e-09,8.812825469384222e-09,49.99999999878434,50.0,0.9999999999756867,"1.0,1.0,1.0"
analytical,2,5.0,provost_xt3d,42,6,ok,3.7969668619660606e-08,4.323508507954042e-08,5.6667281977951234e-08,49.620193824664526,49.6201938253052,0.9999999999870884,"1.0,1.0,1.0"
analytical,2,10.0,provost_xt3d,42,6,ok,4.4407405051766414e-08,2.5087743226056626e-08,1.8766230236444414e-07,48.492315519747635,48.49231551964771,1.0000000000020606,"1.0,1.0,1.0"
analytical,2,15.0,provost_xt3d,42,6,ok,4.702424309515606e-08,2.8170833173118365e-08,2.498052598109979e-07,46.650635095516165,46.65063509461098,1.0000000000194036,"1.0,1.0,1.0"
analytical,2,20.0,provost_xt3d,42,6,ok,4.055208347486517e-08,2.985855613491102e-08,2.2642956953866644e-07,44.151111077136086,44.15111107797446,0.9999999999810113,"1.0,1.0,1.0"
analytical,2,25.0,provost_xt3d,42,6,ok,3.4487666384263296e-08,3.8841019901195946e-08,7.210745889274506e-08,41.069690241862354,41.06969024216348,0.9999999999926679,"1.0,1.0,1.0"
analytical,2,30.0,provost_xt3d,42,6,ok,2.71608507540059e-09,3.09225654109757e-09,7.358391673761844e-09,37.50000000005426,37.500000000000014,1.0000000000014464,"1.0,1.0,1.0"
