bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,1,10.0,planview_xt3d,21,3,ok,30.893766521194035,38.92780650522218,51.83039026577685,2473.4683606121366,2448.8619337422087,1.0100481070536818,"1.0,0.01,1.0"
analytical,1,15.0,planview_xt3d,21,3,ok,66.28184498448542,82.59810904381712,112.06510101356048,2408.0082061624776,2355.857072277854,1.022136798746538,"1.0,0.01,1.0"
analytical,1,20.0,planview_xt3d,21,3,ok,110.39519372611224,135.48091349881042,188.09078896917342,2315.04566546717,2229.63110943771,1.038308828607527,"1.0,0.01,1.0"
analytical,1,25.0,planview_xt3d,21,3,ok,159.48447297638705,191.76634207450766,274.6151059324129,2194.706391318133,2074.0193572292565,1.0581899265637067,"1.0,0.01,1.0"
analytical,1,30.0,planview_xt3d,21,3,ok,208.1448409296555,244.63233528226448,362.20051864327286,2047.438258751475,1893.7500000000005,1.0811555161723958,"1.0,0.01,1.0"
analytical,1,35.0,planview_xt3d,21,3,ok,253.12226005860146,289.52224642479354,445.5848434715493,1875.8844596924384,1694.3004309486564,1.1071734536726237,"1.0,0.01,1.0"
analytical,1,40.0,planview_xt3d,21,3,ok,291.2147408408368,323.4792328994222,520.8007517201372,1684.290840635883,1481.7308243044993,1.1367050026960612,"1.0,0.01,1.0"
analytical,1,45.0,planview_xt3d,21,3,ok,318.9438568848952,342.9139839934983,577.7406728415149,1477.0562188077477,1262.5000000000005,1.1699455198477204,"1.0,0.01,1.0"
analytical,1,50.0,planview_xt3d,21,3,ok,335.0592727186327,348.22263959236,620.159583170818,1261.053139689928,1043.2691756955007,1.2087514603786127,"1.0,0.01,1.0"
analytical,1,55.0,planview_xt3d,21,3,ok,340.18524707384233,340.49272125000874,636.9344230431118,1043.6799328095328,830.699569051343,1.2563867512311495,"1.0,0.01,1.0"
analytical,1,60.0,planview_xt3d,21,3,ok,327.43268948954443,317.1110041674582,633.1556953648587,829.7536876771227,631.2500000000003,1.3144612874093025,"1.0,0.01,1.0"
analytical,1,0.0,provost_std,21,3,ok,2.7073875875783614e-07,3.8367990344299534e-07,5.332521091361286e-07,2524.999999843837,2524.9999999999995,0.9999999999381534,"1.0,0.01,1.0"
analytical,1,5.0,provost_std,21,3,ok,86.67697833280582,110.06034741054395,144.56043857563915,2436.1816152441384,2505.819788177912,0.972209424930589,"1.0,0.01,1.0"
analytical,1,10.0,provost_std,21,3,ok,160.3654758105256,203.24739354509902,266.7829255550931,2320.2616848802013,2448.8619337422087,0.9474857087326732,"1.0,0.01,1.0"
analytical,1,15.0,provost_std,21,3,ok,217.50433612227587,275.01453378434104,360.6879136281629,2181.8476322436163,2355.857072277854,0.9261375224830639,"1.0,0.01,1.0"
analytical,1,20.0,provost_std,21,3,ok,254.6835469923107,321.0203974374389,420.5727896502616,2026.5122038295713,2229.63110943771,0.9089002190773326,"1.0,0.01,1.0"
analytical,1,25.0,provost_std,21,3,ok,268.55762874231124,337.024436013694,440.8797389547985,1860.7737958264797,2074.0193572292565,0.8971824632882609,"1.0,0.01,1.0"
analytical,1,30.0,provost_std,21,3,ok,255.6120704727865,318.61344245856964,415.85291036480896,1692.1531617429887,1893.7500000000005,0.8935462240227001,"1.0,0.01,1.0"
analytical,1,35.0,provost_std,21,3,ok,211.63691962812936,260.6329710047082,338.8541424739824,1529.3900154646462,1694.3004309486564,0.9026675479320541,"1.0,0.01,1.0"
analytical,1,40.0,provost_std,21,3,ok,130.52942841885755,156.25145029791085,201.45410465191515,1382.8700316451677,1481.7308243044993,0.9332801943256223,"1.0,0.01,1.0"
analytical,1,45.0,provost_std,21,3,ok,1.2026078448790089e-06,1.2615490554190305e-06,2.3310249286367934e-06,1262.4999995115622,1262.5000000000005,0.9999999996131183,"1.0,0.01,1.0"
analytical,1,50.0,provost_std,21,3,ok,1451.6092954670266,1461.01466477416,1848.0536137959791,119.24236878709405,1043.2691756955007,0.11429683878813011,"1.0,0.01,1.0"
analytical,1,55.0,provost_std,21,3,ok,1219.2766055390953,1224.365250761557,1548.7131521485219,56.342992983477544,830.699569051343,0.06782595667868362,"1.0,0.01,1.0"
analytical,1,60.0,provost_std,21,3,ok,942.8214119115614,945.0073730590157,1195.3502815614677,33.574859220542166,631.2500000000003,0.053187895794918255,"1.0,0.01,1.0"
analytical,1,0.0,provost_xt3d,21,3,ok,1.4271978355364511e-06,1.7112397778641945e-06,2.933646214842156e-06,2524.999999572075,2524.9999999999995,0.999999999830525,"1.0,0.01,1.0"
analytical,1,5.0,provost_xt3d,21,3,ok,1.0467067188218777,1.3141204921870058,1.7324336013331276,2504.988335547076,2505.819788177912,0.9996681913700424,"1.0,0.01,1.0"
analytical,1,10.0,provost_xt3d,21,3,ok,3.498887801745371,4.401476513030641,5.871950827366135,2446.0780694530777,2448.8619337422087,0.9988632007992067,"1.0,0.01,1.0"
analytical,1,15.0,provost_xt3d,21,3,ok,6.547306055989189,8.198985458797166,11.143911461185319,2350.6749175150944,2355.857072277854,0.9978003102039847,"1.0,0.01,1.0"
analytical,1,20.0,provost_xt3d,21,3,ok,9.604868453491605,11.886614430566896,16.49751395774679,2222.1249959199745,2229.63110943771,0.9966334729157825,"1.0,0.01,1.0"
analytical,1,25.0,provost_xt3d,21,3,ok,12.201401363147921,14.820052330844842,21.155533799208648,2064.668089269888,2074.0193572292565,0.9954912340008912,"1.0,0.01,1.0"
analytical,1,30.0,provost_xt3d,21,3,ok,13.833867675301608,16.420699261485534,23.926170418278936,1883.3894895459196,1893.7500000000005,0.9945291033905843,"1.0,0.01,1.0"
analytical,1,35.0,provost_xt3d,21,3,ok,13.704492009284746,15.922956654335554,23.27496439781518,1684.241905076083,1694.3004309486564,0.9940633162284321,"1.0,0.01,1.0"
analytical,1,40.0,provost_xt3d,21,3,ok,10.18156529190068,11.674906353608673,16.239305326124054,1474.3387944394826,1481.7308243044993,0.9950112194848302,"1.0,0.01,1.0"
analytical,1,45.0,provost_xt3d,21,3,ok,2.003588737787071e-12,1.4704843040367039e-12,5.995204332975845e-12,1262.4999999999998,1262.5000000000005,0.9999999999999994,"1.0,0.01,1.0"
analytical,1,50.0,provost_xt3d,21,3,ok,1337.3221268485665,1355.1070197115891,1879.0332253128595,186.22426804248025,1043.2691756955007,0.17850069031161864,"1.0,0.01,1.0"
analytical,1,55.0,provost_xt3d,21,3,ok,1181.2121967590103,1191.8582732700054,1612.2391190282299,76.90220582494024,830.699569051343,0.0925752325991482,"1.0,0.01,1.0"
analytical,1,60.0,provost_xt3d,21,3,ok,932.3447781318977,937.332271104495,1209.6223154369786,38.42901972827508,631.2500000000003,0.06087765501508921,"1.0,0.01,1.0"
analytical,2,0.0,corrected,42,6,ok,4.504465687703846e-06,3.5333110828540213e-06,9.695913405494139e-06,2524.999999244128,2524.9999999999995,0.999999999700645,"1.0,0.01,1.0"
analytical,2,5.0,corrected,42,6,ok,5.328257986415334e-06,4.498466676370034e-06,1.2600887444591535e-05,2505.8197861905583,2505.8197881779124,0.9999999992069045,"1.0,0.01,1.0"
analytical,2,10.0,corrected,42,6,ok,5.211112908556556e-06,4.088257258282013e-06,1.12107105820769e-05,2448.861932889931,2448.8619337422087,0.9999999996519698,"1.0,0.01,1.0"
analytical,2,15.0,corrected,42,6,ok,6.524945945712867e-06,5.285812616077077e-06,1.4831892158895243e-05,2355.8570706509936,2355.8570722778536,0.9999999993094401,"1.0,0.01,1.0"
analytical,2,20.0,corrected,42,6,ok,8.005133445630636e-06,6.427794689086785e-06,1.7156067677603914e-05,2229.631108089767,2229.6311094377093,0.9999999993954416,"1.0,0.01,1.0"
analytical,2,25.0,corrected,42,6,ok,7.423602186111718e-07,5.663149641714792e-07,1.5340493320081805e-06,2074.019357251665,2074.0193572292555,1.000000000010805,"1.0,0.01,1.0"
analytical,2,30.0,corrected,42,6,ok,1.218716862927734e-06,9.928062336725957e-07,2.558151468434744e-06,1893.7499998311798,1893.7500000000002,0.9999999999108539,"1.0,0.01,1.0"
analytical,2,35.0,corrected,42,6,ok,1.9505089755801484e-06,1.5515982071126874e-06,4.131019970543548e-06,1694.3004310531298,1694.3004309486566,1.0000000000616616,"1.0,0.01,1.0"
analytical,2,40.0,corrected,42,6,ok,4.784788348454607e-06,3.980746895231922e-06,1.0475013301203262e-05,1481.7308234972456,1481.7308243044995,0.9999999994551954,"1.0,0.01,1.0"
analytical,2,45.0,corrected,42,6,ok,7.910995232202348e-06,6.213844603764048e-06,1.6313423500946556e-05,1262.499999184636,1262.5,0.9999999993541672,"1.0,0.01,1.0"
analytical,2,50.0,corrected,42,6,ok,1.0182234520763725e-06,7.302396129770593e-07,2.188491166066342e-06,1043.269175727958,1043.2691756955005,1.0000000000311113,"1.0,0.01,1.0"
analytical,2,55.0,corrected,42,6,ok,1.4533571318786333e-05,1.115737148198839e-05,2.9350405661432433e-05,830.6995683120297,830.699569051343,0.9999999991100111,"1.0,0.01,1.0"
analytical,2,60.0,corrected,42,6,ok,2.686921700284656e-06,2.021990514103996e-06,5.401930458504012e-06,631.249999916724,631.2500000000005,0.999999999868077,"1.0,0.01,1.0"
analytical,2,0.0,corrected_xt3d,42,6,ok,7.290208784525215e-07,8.829087452767057e-07,1.454617759577559e-06,2524.9999993972797,2524.9999999999995,0.9999999997612992,"1.0,0.01,1.0"
analytical,2,5.0,corrected_xt3d,42,6,ok,1.938712890084113e-06,1.7727720094682381e-06,3.6581271345426103e-06,2505.8197869351307,2505.8197881779124,0.9999999995040418,"1.0,0.01,1.0"
analytical,2,10.0,corrected_xt3d,42,6,ok,3.8112954547976525e-07,2.47588289422287e-07,1.8083277097957762e-06,2448.861933583966,2448.8619337422087,0.9999999999353811,"1.0,0.01,1.0"
analytical,2,15.0,corrected_xt3d,42,6,ok,1.089662685848942e-06,9.326122494064326e-07,2.2832926660498742e-06,2355.857071622551,2355.8570722778536,0.999999999721841,"1.0,0.01,1.0"
analytical,2,20.0,corrected_xt3d,42,6,ok,4.0103307312549594e-07,1.5540385899846978e-07,1.5815295739685098e-06,2229.6311093836107,2229.6311094377093,0.9999999999757364,"1.0,0.01,1.0"
analytical,2,25.0,corrected_xt3d,42,6,ok,8.056122089961044e-07,5.590659910903769e-07,1.8627215325750512e-06,2074.019357520277,2074.0193572292555,1.0000000001403178,"1.0,0.01,1.0"
analytical,2,30.0,corrected_xt3d,42,6,ok,2.3987357756481993e-07,3.127503236877869e-07,5.225402333053353e-07,1893.7500002100094,1893.7500000000002,1.000000000110896,"1.0,0.01,1.0"
analytical,2,35.0,corrected_xt3d,42,6,ok,4.794454744953438e-07,3.953781155753662e-07,1.235358926265917e-06,1694.3004312108462,1694.3004309486566,1.000000000154748,"1.0,0.01,1.0"
analytical,2,40.0,corrected_xt3d,42,6,ok,7.461101857185192e-07,5.796737641598526e-07,2.0381407672687146e-06,1481.730823921319,1481.7308243044995,0.9999999997413966,"1.0,0.01,1.0"
analytical,2,45.0,corrected_xt3d,42,6,ok,6.92871265416669e-08,9.237259222986869e-08,2.213189631561363e-07,1262.5000000488576,1262.5,1.000000000038699,"1.0,0.01,1.0"
analytical,2,50.0,corrected_xt3d,42,6,ok,7.971752725598537e-07,4.0115825908240096e-07,2.369509033428585e-06,1043.269175924935,1043.2691756955005,1.0000000002199187,"1.0,0.01,1.0"
analytical,2,55.0,corrected_xt3d,42,6,ok,2.8326425189414436e-07,3.331913098220517e-07,8.308400634149393e-07,830.6995692588181,830.699569051343,1.0000000002497593,"1.0,0.01,1.0"
analytical,2,60.0,corrected_xt3d,42,6,ok,4.530863995380656e-07,4.791372881663739e-07,1.1225651519453095e-06,631.2499996933199,631.2500000000005,0.9999999995141694,"1.0,0.01,1.0"
analytical,2,0.0,planview,42,6,ok,4.504465687703846e-06,3.5333110828540213e-06,9.695913405494139e-06,2524.999999244128,2524.9999999999995,0.999999999700645,"1.0,0.01,1.0"
